NCES,District,State,Public School Enrollment,Last verified,District reopening plan,Start date,Link
Multiple,New York City,NY,"960,484",9/21/20,Remote learning only,9/21/20,"<a href=""https://www.schools.nyc.gov/school-year-20-21/return-to-school-2020"" target=""_blank"">🔗</a>"
0622710,Los Angeles Unified,CA,"495,255",8/18/20,Remote learning only,8/18/20,"<a href=""https://achieve.lausd.net/domain/4"" target=""_blank"">🔗</a>"
1709930,City of Chicago (SD 299),IL,"359,476",9/8/20,Remote learning only,9/8/20,"<a href=""https://cps.edu/coronavirus/Pages/covid19.aspx"" target=""_blank"">🔗</a>"
1200390,Miami-Dade,FL,"350,434",8/31/20,Remote learning only,8/31/20,"<a href=""http://reopening.dadeschools.net/index.html"" target=""_blank"">🔗</a>"
3200060,Clark County,NV,"330,225",8/24/20,Remote learning only,8/24/20,"<a href=""https://sites.google.com/nv.ccsd.net/distanceeducation/ccsd-resources/reopening-ccsd?authuser=0"" target=""_blank"">🔗</a>"
7200030,Puerto Rico Department Of Education,PR,"307,282",8/17/20,Remote learning only,8/17/20,"<a href=""https://de.pr.gov/"" target=""_blank"">🔗</a>"
1200180,Broward,FL,"270,978",8/19/20,Remote learning only,8/19/20,"<a href=""https://www.browardschools.com/Page/38282"" target=""_blank"">🔗</a>"
1200870,Hillsborough,FL,"220,252",8/24/20,Remote learning only,8/24/20,"<a href=""https://www.sdhc.k12.fl.us/doc/2719/school-reopening-plan/about/openingplan"" target=""_blank"">🔗</a>"
4823640,Houston ISD,TX,"209,772",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.houstonisd.org/reopening"" target=""_blank"">🔗</a>"
1201440,Orange,FL,"208,203",8/10/20,Remote learning only,8/10/20,"<a href=""https://www.ocps.net/"" target=""_blank"">🔗</a>"
1201500,Palm Beach,FL,"192,533",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.palmbeachschools.org/students_parents/reopening_schools"" target=""_blank"">🔗</a>"
5101260,Fairfax County,VA,"187,797",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.fcps.edu/returntoschool#"" target=""_blank"">🔗</a>"
1500030,Hawaii Department of Education,HI,"181,278",8/17/20,Hybrid/Partial,8/17/20,"<a href=""http://www.hawaiipublicschools.org/ConnectWithUs/MediaRoom/PressReleases/Pages/school-year-2020-21.aspx"" target=""_blank"">🔗</a>"
1302550,Gwinnett County,GA,"179,758",8/12/20,Remote learning only,8/12/20,"<a href=""http://publish.gwinnett.k12.ga.us/gcps/home/public/home"" target=""_blank"">🔗</a>"
2400480,Montgomery County,MD,"162,680",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.montgomeryschoolsmd.org/index.aspx"" target=""_blank"">🔗</a>"
3704720,Wake County,NC,"161,784",8/17/20,Remote learning only,8/17/20,"<a href=""https://www.wcpss.net/returntocampus"" target=""_blank"">🔗</a>"
4816230,Dallas ISD,TX,"155,119",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.dallasisd.org/reentry"" target=""_blank"">🔗</a>"
3702970,Charlotte-Mecklenburg,NC,"147,638",8/17/20,Remote learning only,8/17/20,"<a href=""https://www.cms.k12.nc.us/Pages/default.aspx"" target=""_blank"">🔗</a>"
2400510,Prince George's County Public Schools,MD,"132,657",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.pgcps.org/reopen/"" target=""_blank"">🔗</a>"
4218990,Philadelphia City,PA,"132,520",9/2/20,Remote learning only,9/2/20,"<a href=""http://philasd.org/2020schoolstart"" target=""_blank"">🔗</a>"
1200480,Duval,FL,"130,229",8/20/20,Hybrid/Partial,8/20/20,"<a href=""https://dcps.duvalschools.org/domain/11723"" target=""_blank"">🔗</a>"
4816110,Cypress-Fairbanks ISD,TX,"116,512",9/8/20,Full in-person reopening available for all students,9/8/20,"<a href=""https://www.cfisd.net/en/lead-safely-2020-21"" target=""_blank"">🔗</a>"
2400120,Baltimore County Public Schools,MD,"113,814",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.bcps.org/"" target=""_blank"">🔗</a>"
4700148,Shelby County,TN,"112,125",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.scsk12.org/safeplan/"" target=""_blank"">🔗</a>"
1301290,Cobb County,GA,"111,854",8/17/20,Remote learning only,8/17/20,"<a href=""http://www.cobbk12.org/"" target=""_blank"">🔗</a>"
4833120,Northside ISD,TX,"106,501",8/24/20,Remote learning only,8/24/20,"<a href=""https://www.nisd.net/news/nisd-begin-school-year-virtual-instruction/"" target=""_blank"">🔗</a>"
0634320,San Diego Unified,CA,"103,194",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.sandiegounified.org/"" target=""_blank"">🔗</a>"
1201590,Polk,FL,"101,408",8/24/20,Full in-person reopening available for all students,8/24/20,"<a href=""https://polkschoolsfl.com/reopening"" target=""_blank"">🔗</a>"
1201560,Pinellas,FL,"100,948",8/24/20,Full in-person reopening available for all students,8/24/20,"<a href=""https://www.pcsb.org/"" target=""_blank"">🔗</a>"
1301740,DeKalb County,GA,"99,166",8/17/20,Remote learning only,8/17/20,"<a href=""https://www.dekalbschoolsga.org/covid-19/covid-19/"" target=""_blank"">🔗</a>"
2102990,Jefferson County,KY,"97,936",8/25/20,Remote learning only,8/25/20,"<a href=""https://www.jefferson.kyschools.us/preparing-for-start-school"" target=""_blank"">🔗</a>"
1302280,Fulton County,GA,"94,491",8/17/20,Remote learning only,8/17/20,"<a href=""https://www.fultonschools.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=7115&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=69378&PageID=1"" target=""_blank"">🔗</a>"
1201080,Lee,FL,"94,410",8/31/20,Full in-person reopening available for all students,8/31/20,"<a href=""https://www.leeschools.net/cms/One.aspx?portalId=676305&pageId=30478400"" target=""_blank"">🔗</a>"
0803360,Denver,CO,"92,039",8/24/20,Remote learning only,8/24/20,"<a href=""https://www.dpsk12.org/important-update-on-our-return-to-school-july-17-2020/"" target=""_blank"">🔗</a>"
5103130,Prince William County,VA,"90,843",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.pwcs.edu/news/what_s_new"" target=""_blank"">🔗</a>"
3500060,Albuquerque,NM,"89,788",8/12/20,Remote learning only,8/12/20,"<a href=""https://www.aps.edu/schools/reentry-plan"" target=""_blank"">🔗</a>"
