institution,school_type,state,testing_info_link,rtc_model,last_updated,testing,testing_type,test_initial,test_recurring,test_freq,test_vendor,test_pool,endowment,enrollment,endowment_per_fte_enrollment
Abilene Christian University,Private,TX,https://www.acu.edu/coronavirus/july-17-2020-campus-return-information.html,Planning for in-person,8/18/2020,TRUE,Symptomatic,FALSE,TRUE,,,,431945603,5204,93253
Academy of Art University,Private,CA,https://www.academyart.edu/academy-of-art-universitys-response-to-covid-19-coronavirus/,Proposing a hybrid model,8/18/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,,10616,
Adelphi University,Private,NY,https://www.adelphi.edu/restart/wp-content/uploads/sites/54/2020/07/Adelphi-University-Restart-Master-Plan.pdf,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,TRUE,TRUE,0.33,Vault Health,,188578577,8146,25374
Adrian College,Private,MI,http://adrian.edu/news/ac-president-docking-says-campus-will-be-open-in-fall,Planning for in-person,7/27/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,36705997,1856,22644
Agnes Scott College,Private,GA,https://www.agnesscott.edu/coronavirus/updates/plans-fall-2020.html,Planning for online,8/18/2020,FALSE,No voluntary testing,FALSE,FALSE,0,Unknown,,229425820,1030,240488
Alabama Community College system — all system campuses,Public,AL,https://www.wsfa.com/2020/07/17/alabama-community-college-system-announces-reopening-plans/,,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Bevill State Community College,Public,AL,https://www.bscc.edu/coronavirus,Proposing a hybrid model,7/27/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
Alabama Community College system — Bishop State Community College,Public,AL,https://www.bishop.edu/news/accs-announces-fall-2020-plans-for-campus-reopenings,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Calhoun Community College,Public,AL,https://calhoun.edu/coronavirus-information/,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Central Alabama Community College,Public,AL,https://www.cacc.edu/covid-19/,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Chattahoochee Valley Community College,Public,AL,http://www.cv.edu/response-to-coronavirus-covid-19/,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Coastal Alabama Community College,Public,AL,http://www.coastalalabama.edu/coronavirus/,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Drake State Community and Technical College,Public,AL,https://www.drakestate.edu/news/drake-state-announces-the-fall-semester-instructional-plan,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Enterprise State Community College,Public,AL,https://www.escc.edu/2020/07/10/online-hybrid-classes-planned-for-fall-semester-at-escc/,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Gadsden State Community College,Public,AL,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Jefferson State Community College,Public,AL,https://www.jeffersonstate.edu/covid-19info/2020-fall-semester-classes/,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Lawson State Community College,Public,AL,https://www.lawsonstate.edu/register_now/registration_steps/schedule_options.aspx,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
